,CONTAINING,SHOOT,FNAME,SHOOT_NUM,FNAME_OG,FULL_OG,FNAME_2K,FULL_2K,COVER
0,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0028,0028,170723_Beacon_Princeton_Co-op_0028_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0028_original.jpg,170723_Beacon_Princeton_Co-op_0028_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0028_2k.jpg,False
1,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0033,0033,170723_Beacon_Princeton_Co-op_0033_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0033_original.jpg,170723_Beacon_Princeton_Co-op_0033_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0033_2k.jpg,False
2,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0043,0043,170723_Beacon_Princeton_Co-op_0043_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0043_original.jpg,170723_Beacon_Princeton_Co-op_0043_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0043_2k.jpg,False
3,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0043-2,0043-2,170723_Beacon_Princeton_Co-op_0043-2_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0043-2_original.jpg,170723_Beacon_Princeton_Co-op_0043-2_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0043-2_2k.jpg,False
4,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0044,0044,170723_Beacon_Princeton_Co-op_0044_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0044_original.jpg,170723_Beacon_Princeton_Co-op_0044_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0044_2k.jpg,False
5,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0044-2,0044-2,170723_Beacon_Princeton_Co-op_0044-2_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0044-2_original.jpg,170723_Beacon_Princeton_Co-op_0044-2_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0044-2_2k.jpg,False
6,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0050,0050,170723_Beacon_Princeton_Co-op_0050_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0050_original.jpg,170723_Beacon_Princeton_Co-op_0050_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0050_2k.jpg,False
7,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0052,0052,170723_Beacon_Princeton_Co-op_0052_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0052_original.jpg,170723_Beacon_Princeton_Co-op_0052_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0052_2k.jpg,False
8,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0053,0053,170723_Beacon_Princeton_Co-op_0053_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0053_original.jpg,170723_Beacon_Princeton_Co-op_0053_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0053_2k.jpg,False
9,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0059,0059,170723_Beacon_Princeton_Co-op_0059_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0059_original.jpg,170723_Beacon_Princeton_Co-op_0059_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0059_2k.jpg,False
10,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0064,0064,170723_Beacon_Princeton_Co-op_0064_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0064_original.jpg,170723_Beacon_Princeton_Co-op_0064_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0064_2k.jpg,False
11,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0067,0067,170723_Beacon_Princeton_Co-op_0067_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0067_original.jpg,170723_Beacon_Princeton_Co-op_0067_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0067_2k.jpg,False
12,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0071,0071,170723_Beacon_Princeton_Co-op_0071_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0071_original.jpg,170723_Beacon_Princeton_Co-op_0071_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0071_2k.jpg,False
13,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0072,0072,170723_Beacon_Princeton_Co-op_0072_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0072_original.jpg,170723_Beacon_Princeton_Co-op_0072_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0072_2k.jpg,False
14,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0075,0075,170723_Beacon_Princeton_Co-op_0075_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0075_original.jpg,170723_Beacon_Princeton_Co-op_0075_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0075_2k.jpg,False
15,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0077,0077,170723_Beacon_Princeton_Co-op_0077_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0077_original.jpg,170723_Beacon_Princeton_Co-op_0077_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0077_2k.jpg,False
16,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0080,0080,170723_Beacon_Princeton_Co-op_0080_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0080_original.jpg,170723_Beacon_Princeton_Co-op_0080_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0080_2k.jpg,False
17,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0084,0084,170723_Beacon_Princeton_Co-op_0084_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0084_original.jpg,170723_Beacon_Princeton_Co-op_0084_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0084_2k.jpg,False
18,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0084-2,0084-2,170723_Beacon_Princeton_Co-op_0084-2_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0084-2_original.jpg,170723_Beacon_Princeton_Co-op_0084-2_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0084-2_2k.jpg,False
19,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda,Beacon_Princeton_Co-op.Glynda,170723_Beacon_Princeton_Co-op_0089,0089,170723_Beacon_Princeton_Co-op_0089_original.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0089_original.jpg,170723_Beacon_Princeton_Co-op_0089_2k.jpg,/photography/100_Con/NonCon/Beacon_Princeton_Co-op/Glynda/170723_Beacon_Princeton_Co-op_0089_2k.jpg,False
